garden_Plant_ID,,C002,,,C003,,,C004,,,C005,,,C006,,,C007,,,C008,,,C009,,,C010,,,C011,,,C012,,,C013,,,C014,,,C015,,,C016,,,C017,,,C018,,,C019,,,C020,,,C021,,,C022,,,C023,,,C024,,,C025,,,C026,,,C027,,,C028,,,C029,,,C030,,,C031,,,C032,,,C033,,,C034,,,C035,,,C036,,,C037,,,C038,,,C039,,,C040,,,C041,,,C042,,,C043,,,C044,,,C045,,,C046,,,C047,,,C048,,,C049,,,C050,,,C051,,,C052,,,C053,,,C054,,,C055,,,C056,,,C057,,,C058,,,C059,,,C060,,,C061,,,C062,,,C063,,,C064,,,C065,,,C066,,,C067,,,C068,,,C069,,,C070,,,C071,,,C072,,,C073,,,C074,,
42,,,,,3.6664,2152.866,15.22,,,,,,,,,,,,,,,,,,,12.1242,581.132,4.11,,,,13.1645,138.408,0.98,13.7504,178.474,1.26,,,,,,,14.8281,364.996,2.58,,,,,,,15.7946,772.194,5.46,,,,,,,16.9504,389.987,2.76,,,,,,,17.7571,1355.731,9.58,,,,,,,,,,18.6245,231.88,1.64,,,,18.8672,278.17,1.97,,,,19.926,139.26,0.98,20.0181,146.406,1.03,,,,,,,,,,20.811,142.275,1.01,21.0463,1892.552,13.38,21.3052,939.305,6.64,21.4511,174.99,1.24,21.5249,104.357,0.74,,,,21.7005,2729.7,19.3,21.9227,81.174,0.57,,,,,,,,,,23.123,337.164,2.38,,,,23.435,81.811,0.58,,,,23.6534,123.284,0.87,23.7344,88.819,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9671,231.085,1.63,,,,,,,26.6145,131.879,0.93,,,,,,,,,,,,,,,,,,
423,,3.0472,292.766,1.62,3.6773,2290.793,12.67,,,,,,,7.3062,589.515,3.26,,,,,,,,,,12.1321,469.464,2.6,,,,,,,13.7594,406.592,2.25,,,,,,,14.8575,1827.418,10.11,,,,,,,15.7796,255.097,1.41,,,,,,,16.9832,2021.666,11.18,,,,,,,17.7938,2908.666,16.09,17.945,437.943,2.42,,,,,,,18.5544,319.032,1.76,18.6315,203.919,1.13,18.8573,168.894,0.93,,,,,,,,,,,,,,,,,,,20.8285,686.181,3.8,21.0464,1692.433,9.36,21.3058,771.696,4.27,21.4452,313.435,1.73,,,,,,,21.662,103.719,0.57,21.9107,143.489,0.79,,,,,,,,,,23.1361,195.645,1.08,23.2753,59.505,0.33,23.438,192.241,1.06,,,,23.6553,96.925,0.54,23.738,144.648,0.8,,,,,,,24.0077,83.482,0.46,,,,,,,,,,,,,,,,25.3958,151.533,0.84,,,,25.9695,253.049,1.4,,,,26.4831,186.473,1.03,26.621,439.102,2.43,,,,,,,,,,,,,,,,,,
43,,3.0319,784.843,3.04,3.6653,1099.363,4.26,,,,,,,,,,,,,,,,,,,12.1343,1308.216,5.07,,,,13.1703,454.582,1.76,13.7638,1049.64,4.07,,,,,,,14.8924,5027.877,19.48,,,,15.3983,114.369,0.44,,,,,,,16.6726,145.318,0.56,17.0241,5647.794,21.88,,,,,,,17.7335,84.517,0.33,17.9346,669.172,2.59,,,,18.5427,186.951,0.72,18.6231,188.614,0.73,,,,,,,,,,,,,20.0213,142.004,0.55,,,,,,,,,,20.8275,834.485,3.23,21.0844,4324.833,16.75,,,,21.445,142.299,0.55,21.5221,135.096,0.52,,,,21.674,228.992,0.89,21.9146,562.669,2.18,22.2431,198.984,0.77,,,,,,,23.146,188.285,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3939,93.257,0.36,,,,25.9771,979.117,3.79,26.3448,71.457,0.28,26.4858,463.721,1.8,26.6218,520.825,2.02,,,,,,,,,,,,,,,,,,
441,,3.1623,412.929,1.24,3.6757,4416.856,13.24,,,,,,,7.3123,731.449,2.19,9.931,366.98,1.1,11.6049,201.721,0.6,,,,12.1433,1403.379,4.21,,,,,,,13.7622,163.452,0.49,,,,,,,14.8437,784.856,2.35,,,,,,,15.8246,795.911,2.39,16.3826,367.01,1.1,,,,16.99,2208.415,6.62,,,,,,,17.8743,9313.589,27.91,17.9728,419.393,1.26,,,,,,,18.5766,597.481,1.79,18.6543,444.726,1.33,18.9,872.042,2.61,,,,,,,19.9426,171.406,0.51,20.0368,200.228,0.6,,,,20.5756,155.577,0.47,20.8257,299.919,0.9,21.2163,108.57,0.33,21.3323,1752.175,5.25,21.4711,420.035,1.26,,,,,,,21.7169,3237.421,9.7,21.9366,215.989,0.65,22.3188,181.3,0.54,,,,,,,,,,23.2803,71.744,0.22,23.4437,269.873,0.81,,,,23.6621,145.757,0.44,23.7426,175.341,0.53,,,,,,,24.0108,81.563,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,3.6744,506.403,1.4,,,,,,,,,,,,,,,,,,,,,,,,,13.1782,611.293,1.69,13.7892,2762.112,7.65,,,,,,,14.881,3752.685,10.39,,,,,,,,,,16.3873,348.779,0.97,16.6827,220.826,0.61,17.0692,9497.406,26.3,,,,,,,17.7497,272.172,0.75,17.9534,1216.098,3.37,,,,,,,18.5559,276.231,0.77,18.6368,242.852,0.67,19.0306,114.008,0.32,19.5258,214.894,0.6,,,,,,,,,,,,,,,,20.8963,829.21,2.3,21.1748,11291.528,31.27,,,,21.4589,182.734,0.51,21.5414,154.663,0.43,21.6215,155.945,0.43,21.6971,515.447,1.43,21.9373,822.468,2.28,,,,,,,,,,23.1268,241.879,0.67,23.2793,60.391,0.17,23.4412,157.275,0.44,,,,,,,23.7392,70.711,0.2,,,,,,,24.0142,91.548,0.25,,,,24.3778,158.929,0.44,,,,,,,,,,25.4929,222.06,0.61,,,,25.9687,78.912,0.22,,,,26.4829,98.582,0.27,26.621,336.711,0.93,,,,,,,,,,,,,,,,,,
450,,3.2143,1339.318,4.55,3.6812,4123.605,14.02,,,,,,,,,,,,,,,,,,,12.1388,1572.185,5.35,,,,,,,13.7609,574.532,1.95,,,,,,,14.8424,1028.652,3.5,,,,,,,15.84,1576.135,5.36,,,,,,,16.9685,1361.606,4.63,,,,,,,17.7681,1609.929,5.47,17.9425,103.852,0.35,,,,,,,18.5885,1418.383,4.82,18.6686,998.443,3.39,18.893,479.659,1.63,,,,,,,19.9674,407.001,1.38,20.022,352.166,1.2,,,,,,,20.8293,329.886,1.12,21.0879,3904.951,13.28,21.3391,2360.524,8.03,21.4964,384.478,1.31,,,,,,,21.7026,2673.063,9.09,21.9347,282.861,0.96,,,,,,,22.991,138.207,0.47,23.124,847.653,2.88,23.2783,113.511,0.39,23.4408,166.738,0.57,,,,23.6736,233.246,0.79,23.741,176.003,0.6,,,,,,,24.0123,105.928,0.36,,,,,,,,,,,,,,,,,,,,,,25.9689,298.068,1.01,,,,,,,26.616,171.812,0.58,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,12.1332,243.184,1.38,,,,13.1755,329.813,1.88,13.7711,886.498,5.04,,,,,,,14.8482,1096.891,6.24,,,,15.4043,122.232,0.69,,,,16.3795,179.391,1.02,,,,17.0366,6224.151,35.39,,,,,,,,,,17.9429,636.68,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.814,105.563,0.6,21.0813,3578.371,20.35,,,,,,,21.5282,187.976,1.07,,,,21.68,460.68,2.62,21.92,533.348,3.03,22.2443,98.752,0.56,,,,,,,23.1368,122.339,0.7,,,,23.4369,74.893,0.43,,,,,,,,,,,,,,,,24.0488,280.106,1.59,,,,,,,24.9606,154.912,0.88,,,,,,,,,,,,,25.9814,1137.82,6.47,26.3477,65.733,0.37,26.4836,77.325,0.44,26.6254,680.82,3.87,,,,,,,,,,,,,,,,,,
459,,3.1371,638.075,1.51,3.673,627.575,1.49,,,,,,,,,,,,,,,,,,,12.1421,743.879,1.76,12.7016,171.092,0.41,13.19,1421.804,3.37,13.8047,3735.31,8.86,,,,,,,14.8665,2334.015,5.54,,,,15.4092,251.027,0.6,,,,16.3876,231.247,0.55,,,,17.0796,10543.548,25.01,,,,,,,17.7477,134.685,0.32,17.9538,1085.729,2.58,,,,18.3602,142.244,0.34,,,,,,,19.0322,94.116,0.22,,,,,,,,,,,,,,,,,,,20.8975,277.599,0.66,21.2053,14957.374,35.48,,,,,,,21.548,276.412,0.66,,,,21.6831,386.927,0.92,21.9287,493.16,1.17,22.2538,287.101,0.68,,,,,,,23.1239,128.671,0.31,23.2827,103.376,0.25,23.4428,144.073,0.34,23.6023,51.456,0.12,,,,23.7412,64.032,0.15,,,,,,,24.052,277.317,0.66,,,,,,,,,,,,,,,,,,,,,,25.9766,592.817,1.41,,,,26.4883,587.184,1.39,26.62,237.461,0.56,,,,,,,,,,,,,,,,,,
466,,,,,3.6825,2073.352,12.14,,,,,,,7.3688,925.625,5.42,9.9179,254.461,1.49,,,,,,,12.1346,367.652,2.15,,,,,,,13.7659,365.602,2.14,,,,,,,14.8388,364.77,2.14,,,,,,,15.778,242.959,1.42,16.3773,174.172,1.02,,,,16.9998,3025.036,17.71,,,,,,,17.8086,3776.735,22.11,17.9526,274.602,1.61,,,,,,,18.5547,275.538,1.61,18.6355,271.209,1.59,,,,,,,,,,,,,,,,,,,,,,20.8113,208.772,1.22,21.2955,475.846,2.79,,,,21.4263,121.799,0.71,,,,,,,21.662,278.646,1.63,21.9126,223.634,1.31,,,,,,,,,,23.128,134.451,0.79,,,,23.4387,183.658,1.08,,,,23.6517,98.295,0.58,23.7392,83.592,0.49,,,,,,,24.0492,386.549,2.26,,,,,,,,,,,,,,,,,,,,,,25.9746,557.196,3.26,,,,26.4824,71.929,0.42,26.6195,213.131,1.25,,,,,,,,,,,,,,,,,,
47,,3.0373,781.498,2.41,,,,,,,,,,,,,,,,,,,,,,12.1284,341.282,1.05,12.6905,153.022,0.47,13.1719,533.347,1.65,13.7884,3533.09,10.91,,,,,,,14.8482,1025.019,3.17,,,,15.399,177.491,0.55,,,,16.3718,159.169,0.49,16.6726,225.023,0.7,17.0685,9976.922,30.82,,,,,,,,,,17.947,390.163,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8689,90.218,0.28,21.1673,11102.693,34.29,,,,,,,21.5442,373.967,1.16,,,,21.7156,964.852,2.98,21.9301,686.619,2.12,22.2605,168.805,0.52,,,,,,,23.1193,467.815,1.45,,,,,,,,,,,,,,,,,,,,,,24.0455,122.284,0.38,,,,,,,,,,,,,,,,,,,,,,25.9713,542.724,1.68,,,,,,,26.6152,117.231,0.36,,,,,,,,,,,,,,,,,,
48,,,,,3.6794,1032.259,3.9,,,,,,,,,,,,,,,,,,,12.1371,684.104,2.58,,,,13.1767,627.418,2.37,13.7801,2148.734,8.11,,,,,,,14.8789,3632.736,13.71,,,,,,,,,,16.3776,144.112,0.54,,,,17.02,4761.979,17.97,,,,,,,17.7423,206.283,0.78,17.9479,1066.426,4.02,,,,,,,18.5491,160.469,0.61,18.6294,166.229,0.63,,,,,,,,,,,,,,,,,,,,,,20.8651,866.221,3.27,21.1361,7611.955,28.72,,,,21.4577,185.36,0.7,21.5376,258.298,0.97,,,,21.6937,460.384,1.74,21.9198,342.662,1.29,22.2597,109.578,0.41,,,,,,,23.1298,251.731,0.95,,,,23.4386,93.506,0.35,,,,,,,23.7374,119.456,0.45,,,,,,,24.0474,137.759,0.52,,,,24.404,168.793,0.64,,,,,,,,,,25.3955,79.243,0.3,,,,25.9733,538.467,2.03,,,,26.4828,235.761,0.89,26.6186,225.451,0.85,,,,,,,,,,,,,,,,,,
50,,3.0549,603.197,1.74,3.6815,2122.857,6.14,,,,,,,7.2943,622.135,1.8,,,,,,,,,,12.1355,301.891,0.87,,,,13.1774,362.327,1.05,13.7743,1371.364,3.96,14.1681,700.732,2.03,,,,14.8638,1649.157,4.77,,,,,,,,,,16.3882,397.898,1.15,16.6846,235.485,0.68,17.0894,11661.818,33.71,,,,,,,17.7407,1266.997,3.66,17.9685,949.061,2.74,,,,18.4161,1134.858,3.28,18.558,106.603,0.31,18.6375,91.686,0.27,19.034,145.921,0.42,,,,,,,,,,,,,,,,,,,20.8603,846.902,2.45,21.1211,5842.406,16.89,,,,21.4526,116.278,0.34,21.5411,318.708,0.92,,,,21.69,292.145,0.84,21.9392,1043.08,3.02,22.3558,93.406,0.27,,,,,,,23.1605,318.999,0.92,23.2798,89.48,0.26,23.4387,66.394,0.19,,,,,,,23.7326,130.775,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6173,110.049,0.32,,,,,,,,,,,,,,,,,,
53,,3.0479,363.502,1.64,3.6775,2630.05,11.86,,,,,,,7.3086,665.854,3,9.9298,337.212,1.52,,,,,,,12.1317,363.963,1.64,,,,,,,13.7666,696.536,3.14,,,,,,,14.8458,1023.007,4.61,,,,,,,15.7799,265.606,1.2,16.3786,179.368,0.81,,,,17.007,3758.795,16.95,,,,,,,17.7915,2621.813,11.82,17.9497,699.167,3.15,,,,,,,18.5478,129.689,0.58,18.6283,108.117,0.49,18.856,136.669,0.62,,,,,,,,,,,,,,,,20.5722,148.936,0.67,20.8287,511.946,2.31,21.1964,86.237,0.39,21.3008,598.924,2.7,21.4328,170.999,0.77,21.5293,89.568,0.4,,,,21.6633,186.528,0.84,21.9118,281.984,1.27,,,,,,,,,,23.1344,162.05,0.73,23.2766,91.637,0.41,23.4394,197.393,0.89,,,,23.6524,108.495,0.49,23.7384,147.462,0.67,,,,,,,24.0086,55.544,0.25,,,,,,,,,,,,,,,,25.4018,508.416,2.29,,,,25.9687,331.006,1.49,,,,26.4875,87.971,0.4,26.6294,1140.459,5.14,,,,,,,,,,,,,,,,,,
55,,,,,3.6725,2573.825,14.85,,,,,,,,,,,,,,,,,,,12.1306,710.624,4.1,,,,,,,13.7537,267.246,1.54,,,,,,,14.8385,833.12,4.81,,,,,,,15.7968,572.466,3.3,,,,,,,16.9712,1612.166,9.3,,,,,,,17.7739,2036.571,11.75,17.9366,217.142,1.25,,,,,,,18.5694,933.744,5.39,18.6489,686.246,3.96,18.8627,146.929,0.85,,,,,,,19.9331,226.514,1.31,20.0219,243.907,1.41,,,,,,,20.8181,271.269,1.57,21.2962,550.534,3.18,,,,21.4614,451.916,2.61,,,,,,,21.6613,566.704,3.27,21.9136,200.893,1.16,,,,,,,22.9139,136.493,0.79,23.1247,1112.253,6.42,,,,23.4359,85.731,0.49,,,,23.6595,182.59,1.05,23.735,90.216,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9663,203.919,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,3.0663,1235.815,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.167,502.906,1.93,13.7535,297.648,1.14,,,,,,,14.8743,206.777,0.79,,,,15.3838,147.918,0.57,,,,16.372,173.626,0.67,16.6752,816.807,3.14,16.9793,2148.899,8.26,,,,,,,,,,17.9471,524.292,2.02,,,,,,,,,,,,,,,,,,,,,,,,,20.0226,219.924,0.85,,,,,,,,,,21.0704,8973.818,34.5,21.3059,205.379,0.79,,,,,,,,,,21.7645,737.368,2.83,21.9379,749.351,2.88,,,,,,,,,,23.1121,376.622,1.45,,,,,,,,,,,,,,,,,,,,,,24.0505,166.496,0.64,24.1538,4742.624,18.23,,,,,,,,,,,,,,,,,,,25.9713,256.096,0.98,,,,,,,26.6225,153.164,0.59,,,,,,,,,,,,,,,,,,
64,,3.1932,4407.104,11.92,3.6666,2720.008,7.36,,,,,,,,,,,,,,,,,,,12.1351,664.128,1.8,,,,,,,13.7572,621.485,1.68,,,,,,,14.9039,5622.341,15.21,,,,,,,15.7952,496.118,1.34,16.3776,130.679,0.35,16.6773,175.21,0.47,17.044,7287.983,19.71,,,,,,,,,,17.9467,358.57,0.97,,,,,,,18.5475,256.614,0.69,18.6272,216.861,0.59,,,,,,,,,,,,,20.027,207.066,0.56,,,,20.6494,223.42,0.6,20.8638,2140.268,5.79,21.0788,3987.309,10.78,21.2953,443.729,1.2,21.4677,549.161,1.49,,,,,,,21.6817,1231.53,3.33,21.9336,926.839,2.51,,,,,,,,,,23.1577,285.679,0.77,,,,23.4345,68.162,0.18,23.6205,90.873,0.25,,,,23.7297,151.663,0.41,,,,,,,24.0456,138.035,0.37,,,,,,,,,,,,,,,,25.4855,139.237,0.38,,,,25.9813,1286.984,3.48,26.3476,78.024,0.21,26.4936,1153.216,3.12,26.6245,599.27,1.62,,,,,,,,,,,,,,,,,,
96,,3.0348,713.734,2.71,3.6662,2093.413,7.95,,,,,,,,,,,,,,,,11.9528,193.451,0.73,12.1331,906.205,3.44,,,,13.1671,196.272,0.75,13.7618,877.683,3.33,,,,,,,14.9004,5267.913,20,,,,,,,,,,,,,16.6689,146.909,0.56,17.0288,5838.069,22.16,,,,,,,17.7377,106.245,0.4,17.9375,688.483,2.61,,,,,,,18.5513,337.814,1.28,18.6313,310.664,1.18,,,,,,,,,,,,,,,,,,,,,,20.8505,1224.077,4.65,21.0929,4632.4,17.59,,,,21.4598,226.232,0.86,21.526,153.165,0.58,,,,21.6906,320.811,1.22,21.921,535.519,2.03,,,,,,,,,,23.1516,541.318,2.05,23.2752,81.18,0.31,23.435,125.045,0.47,,,,,,,23.7312,208.963,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,3.0737,679.394,3.1,3.6645,1606.503,7.34,,,,,,,,,,,,,,,,,,,12.1234,408.958,1.87,,,,13.1662,273.861,1.25,13.7606,1067.758,4.88,,,,,,,14.8767,3674.295,16.78,,,,,,,15.7902,292.191,1.33,,,,,,,16.9509,134.785,0.62,,,,,,,17.7507,1010.422,4.61,17.9319,374.82,1.71,,,,,,,18.5527,479.128,2.19,18.6312,338.088,1.54,,,,,,,,,,19.9606,114.078,0.52,20.026,159.15,0.73,,,,,,,20.8683,1386.62,6.33,21.1205,6568.965,30,21.3092,844.407,3.86,21.4607,162.859,0.74,21.5347,87.761,0.4,,,,21.6616,176.256,0.8,,,,,,,,,,,,,23.124,352.685,1.61,23.2748,59.566,0.27,23.4358,150.408,0.69,,,,,,,23.7327,91.765,0.42,,,,,,,,,,,,,,,,,,,,,,,,,25.3962,360.632,1.65,,,,25.9619,135.725,0.62,,,,,,,26.6203,573.59,2.62,,,,,,,,,,,,,,,,,,
CT 0.5,,,,,3.5116,79270.7,98.25,,,,,,,,,,,,,,,,,,,,,,,,,13.2124,266.664,0.33,13.7973,261.139,0.32,,,,,,,14.8975,248.919,0.31,,,,,,,,,,,,,16.7013,245.981,0.3,16.9783,202.349,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0318,187.006,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT 10,,,,,3.4712,71132.948,76.06,,,,,,,,,,,,,,,,,,,,,,,,,13.2244,3829.886,4.1,13.8163,3784.575,4.05,,,,,,,14.9222,3684.323,3.94,15.0995,583.842,0.62,,,,,,,,,,16.7483,3987.767,4.26,17.0191,3405.6,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0751,3113.399,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,3.1598,446.744,1.55,3.6881,2535.886,8.82,,,,,,,,,,,,,,,,,,,12.1249,534.194,1.86,,,,,,,13.7563,1189.129,4.14,,,,,,,14.8835,4773.455,16.61,,,,,,,15.7811,281.077,0.98,,,,,,,16.9976,4275.315,14.88,,,,,,,17.7405,773.002,2.69,17.9397,1244.025,4.33,,,,18.5384,265.869,0.93,18.6174,237.339,0.83,,,,18.8608,369.729,1.29,19.3291,97.236,0.34,,,,,,,,,,,,,,,,20.8565,1782.048,6.2,21.0928,5193.723,18.07,,,,21.4321,245.94,0.86,,,,,,,21.6615,739.767,2.57,21.9074,352.362,1.23,,,,,,,,,,23.1238,586.083,2.04,23.2686,98.465,0.34,23.4308,264.612,0.92,23.6093,66.124,0.23,,,,23.7266,178.881,0.62,,,,,,,24.0002,122.073,0.42,,,,,,,,,,,,,,,,25.4793,154.866,0.54,,,,25.9642,408.408,1.42,,,,26.4772,380.864,1.33,26.6123,275.36,0.96,,,,,,,,,,,,,,,,,,
103,,3.2231,1293.353,4.98,3.6826,2303.353,8.87,,,,,,,7.3024,441.624,1.7,,,,,,,11.9355,200.365,0.77,12.1388,1694.943,6.53,,,,,,,13.7581,772.064,2.97,,,,,,,14.8833,4328.311,16.67,,,,,,,,,,,,,,,,16.9816,2765.806,10.65,,,,,,,17.7574,1354.732,5.22,17.9547,1615.848,6.22,,,,18.5425,235.167,0.91,18.6229,233.458,0.9,,,,,,,19.3346,147.216,0.57,,,,20.0153,138.934,0.54,,,,,,,,,,20.8563,1719.311,6.62,21.082,3693.844,14.23,21.4015,336.538,1.3,,,,21.5779,74.243,0.29,21.6521,321.622,1.24,,,,21.9008,184.66,0.71,,,,,,,,,,23.1378,92.281,0.36,23.2721,153.708,0.59,23.4394,504.094,1.94,,,,,,,23.7319,199.263,0.77,,,,,,,24.0025,135.522,0.52,,,,,,,,,,,,,,,,,,,,,,25.9668,227.811,0.88,,,,26.4785,154.455,0.59,26.613,78.049,0.3,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1698,429.638,1.64,13.7793,2679.742,10.2,,,,,,,14.8543,381.655,1.45,,,,15.3922,183.775,0.7,,,,16.3691,181.174,0.69,,,,17.0243,6455.189,24.58,,,,,,,,,,17.9391,288.782,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1591,11196.276,42.63,,,,,,,21.522,118.323,0.45,,,,21.6592,543.601,2.07,21.9076,444.064,1.69,22.2223,217.633,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0389,84.009,0.32,,,,,,,,,,,,,,,,25.4881,260.752,0.99,,,,25.9759,940.702,3.58,,,,26.4837,624.195,2.38,26.6174,475.535,1.81,,,,,,,,,,,,,,,,,,
113,,3.1596,454.882,3.02,3.6857,1405.298,9.32,,,,,,,7.3181,453.921,3.01,,,,,,,,,,12.1243,524.647,3.48,,,,,,,,,,,,,,,,14.8487,2332.473,15.48,,,,,,,15.7469,161.228,1.07,,,,,,,16.9563,1546.407,10.26,,,,,,,17.7442,1221.468,8.1,17.9253,570.238,3.78,,,,18.5319,229.637,1.52,18.612,197.485,1.31,,,,,,,,,,,,,20.0033,115.607,0.77,,,,,,,20.5495,135.402,0.9,20.8175,998.387,6.62,21.277,299.619,1.99,21.4074,331.207,2.2,,,,,,,21.6442,118.401,0.79,,,,21.8916,142.968,0.95,,,,,,,,,,23.1287,196.683,1.3,23.2658,104.714,0.69,23.4303,282.543,1.87,,,,,,,23.7286,222.235,1.47,,,,,,,23.9978,53.712,0.36,,,,,,,,,,,,,,,,25.391,334.834,2.22,,,,25.9599,229.475,1.52,,,,,,,26.6158,657.104,4.36,,,,,,,,,,,,,,,,,,
122,,3.2083,2486.525,7.87,3.7024,4215.557,13.34,,,,,,,7.3233,753.567,2.39,9.9266,412.382,1.31,,,,,,,12.1319,606.746,1.92,,,,,,,13.7646,1091.288,3.45,,,,,,,14.8307,248.552,0.79,,,,,,,15.7844,508.787,1.61,16.3725,291.539,0.92,,,,16.9725,2119.49,6.71,,,,,,,17.8319,6135.95,19.42,17.9467,353.996,1.12,,,,,,,18.5479,211.052,0.67,18.6268,246.05,0.78,18.8605,362.404,1.15,,,,,,,,,,,,,,,,,,,20.8329,133.994,0.42,21.1998,131.569,0.42,21.3118,1058.216,3.35,21.4152,195.327,0.62,21.5844,132.326,0.42,,,,21.6674,771.742,2.44,21.9109,236.707,0.75,22.2765,178.6,0.57,22.652,126.9,0.4,,,,,,,23.2735,79.212,0.25,23.4384,270.178,0.86,23.5672,90.833,0.29,23.6529,219.859,0.7,23.7382,205.946,0.65,,,,,,,24.0461,392.638,1.24,,,,,,,,,,,,,,,,,,,,,,25.9726,591.416,1.87,,,,26.4828,396.663,1.26,26.6178,251.882,0.8,,,,,,,,,,,,,,,,,,
147,,3.0749,316.133,1.16,3.6975,3039.178,11.14,,,,,,,,,,,,,,,,,,,12.1216,635.822,2.33,,,,,,,13.7561,1274.823,4.67,,,,,,,14.8282,645.065,2.37,,,,,,,15.7889,682.707,2.5,16.3623,244.599,0.9,,,,16.9575,1348.896,4.95,,,,,,,17.7942,4045.603,14.83,17.934,195.786,0.72,,,,,,,18.5584,880.646,3.23,18.6405,711.938,2.61,18.8654,491.374,1.8,,,,,,,19.9338,199.17,0.73,20.0075,159.189,0.58,,,,,,,20.8209,172.411,0.63,21.1948,93.833,0.34,21.2928,647.498,2.37,21.4391,311.292,1.14,21.5181,75.383,0.28,,,,21.6953,3009.958,11.04,21.9161,188.637,0.69,22.2744,160.148,0.59,22.6536,122.912,0.45,,,,23.1164,471.704,1.73,23.2676,73.817,0.27,23.4318,178.651,0.65,,,,23.6471,198.68,0.73,23.7303,78.5,0.29,,,,,,,24.0428,498.036,1.83,,,,,,,,,,,,,,,,,,,,,,25.9636,385.035,1.41,,,,,,,26.6084,79.545,0.29,,,,,,,,,,,,,,,,,,
15,,3.059,456.275,1.54,3.6785,2205.193,7.46,,,,,,,7.3247,486.387,1.65,,,,,,,,,,12.1258,1353.957,4.58,,,,,,,13.7477,528.139,1.79,,,,,,,14.938,10270.469,34.77,,,,,,,,,,,,,,,,16.9595,1574.931,5.33,,,,,,,17.7309,386.442,1.31,17.9416,1407.81,4.77,,,,18.535,211.464,0.72,18.6159,212.814,0.72,,,,,,,19.3278,165.186,0.56,,,,20.0143,167.669,0.57,,,,,,,,,,20.87,3348.979,11.34,21.2654,192.879,0.65,,,,21.4513,556.432,1.88,,,,21.5995,457.734,1.55,,,,21.9016,156.138,0.53,,,,,,,22.9732,92.145,0.31,23.1258,514.217,1.74,23.2695,167.277,0.57,23.4338,418.838,1.42,23.6107,81.645,0.28,,,,23.7285,252.836,0.86,,,,,,,24.0353,61.403,0.21,,,,,,,,,,,,,,,,,,,,,,25.9592,91.017,0.31,,,,,,,26.6084,78.514,0.27,,,,,,,,,,,,,,,,,,
