"Description","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"UTW.1.4_2021",894.973,NA,NA,298.197,NA,NA,100.43,NA,NA,141.555,1236.799,NA,NA,NA,NA,NA,NA,189.32,NA,NA,NA,NA,NA,NA,NA,86.368,NA,NA,NA,NA,NA,343.306,NA,NA,428.224,6663.758,NA,166.415,NA,NA,617.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.207,NA,NA,NA,NA,NA,NA,437.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.2_2021",4227.835,370.595,NA,481.259,NA,NA,764.632,NA,215.325,117.883,576.622,NA,NA,5840.044,NA,NA,170.993,174.23,2285.747,106.464,NA,NA,NA,NA,834.81,306.896,NA,NA,NA,139.194,415.284,209.966,NA,NA,2047.588,499.298,411.752,508.518,NA,NA,321.14,NA,NA,170.317,NA,213.051,117.809,193.411,95.808,79.793,NA,NA,208.39,NA,NA,NA,NA,NA,NA,100.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.9_2021",18655.679,198.85,NA,NA,NA,NA,3346.747,NA,NA,296.632,441.113,170.674,146.536,NA,NA,NA,1872.735,1256.433,4804.414,190.467,NA,NA,NA,816.392,1230.338,886.324,3145.84,142.354,NA,374.046,176.213,109.295,NA,NA,883.988,3668.189,77.606,1124.056,NA,9406.436,NA,NA,NA,1366.949,200.048,77.759,122.45,458.434,92.737,352.511,NA,NA,170.252,NA,88.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVTW.1.10_2021",5762.229,161.667,NA,NA,NA,NA,956.37,NA,145.585,NA,588.831,113.202,NA,NA,NA,NA,1737.853,290.375,1660.523,111.531,NA,NA,NA,NA,598.351,941.923,615.695,NA,NA,NA,655.962,114.234,NA,NA,190.57,4072.33,122.058,279.167,2505.806,NA,171.948,NA,NA,235.468,NA,108.743,70.002,78.939,79.615,56.533,NA,NA,176.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.4_2021",2656.284,137.566,NA,NA,NA,NA,195.209,NA,NA,NA,331.306,NA,NA,NA,NA,NA,374.706,180.96,2765.057,NA,NA,NA,NA,NA,212.733,370.499,93.178,NA,NA,NA,96.446,NA,NA,NA,211.041,1527.979,497.423,NA,302.173,117.512,300.883,NA,NA,NA,NA,NA,NA,NA,181.774,NA,NA,NA,393.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3_2021",3689.593,188.875,NA,NA,NA,NA,193.627,NA,NA,NA,975.169,NA,NA,NA,NA,NA,429.666,117.4,2650.747,NA,NA,NA,NA,NA,260.09,121.834,156.445,NA,NA,NA,NA,NA,NA,NA,553.133,3627.05,652.815,70.108,144.222,NA,154.991,NA,NA,NA,NA,NA,NA,NA,110.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.5_2021",1929.12,124.62,NA,478.214,NA,NA,122.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.57,NA,1543.429,NA,NA,NA,NA,NA,680.681,156.292,NA,NA,NA,NA,145.016,NA,NA,NA,891.543,1626.911,382.059,NA,82.41,NA,139.889,NA,NA,74.027,NA,93.672,NA,NA,121.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.10_2021",4760.549,361.391,827.053,NA,NA,NA,328.121,NA,217.054,1464.645,4388.7,NA,NA,NA,NA,NA,NA,248.374,3707.206,97.408,NA,638.986,NA,NA,808.113,247.634,NA,93.599,NA,98.976,217.065,262.657,NA,NA,150.364,2229.733,141.912,915.328,869.657,NA,305.528,NA,NA,326.838,NA,NA,225.452,155.49,63.876,57.421,NA,NA,312.531,NA,NA,NA,NA,NA,NA,208.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORW.1.1_2021",10309.772,221.019,607.244,NA,NA,NA,2823.459,NA,183.122,152.907,486.065,161.066,NA,5731.926,NA,NA,865.555,230.349,NA,152.163,NA,NA,3770.515,NA,2218.671,945.009,399.637,88.794,NA,177.79,457.732,NA,NA,NA,1803.284,457.542,150.681,398.834,374.072,NA,354.699,NA,NA,526.153,NA,NA,84.385,190.908,131.49,101.614,NA,NA,88.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.2.3_2021",16522.994,204.346,NA,NA,151.191,NA,4862.218,NA,NA,138.463,612.152,270.422,NA,NA,173.1,NA,1471.388,839.99,3496.648,258.49,NA,NA,12346.663,89.138,2352.296,944.198,731.996,NA,NA,138.095,410.181,NA,NA,100.329,729.091,2225.361,124.504,366.574,966.293,NA,129.423,NA,NA,695.232,NA,NA,NA,246.601,75.153,131.711,NA,NA,87.807,NA,NA,NA,NA,NA,73.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.7_2021",6217.42,171.867,NA,NA,NA,NA,564.98,NA,132.762,NA,148.26,123.269,NA,NA,NA,NA,841.65,227.016,4151.931,91.752,NA,NA,NA,NA,590.589,542.36,290.613,NA,NA,NA,152.341,NA,NA,NA,333.391,1257.32,145.754,195.887,1309.017,NA,478.351,NA,NA,245.43,NA,158.843,NA,NA,53.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.8_2021",2230.523,806.021,NA,NA,NA,NA,449.316,NA,NA,NA,187.952,NA,NA,NA,NA,NA,138.055,NA,2167.523,NA,NA,NA,NA,721.512,410.511,181.719,356.952,NA,NA,600.023,228.935,207.937,NA,NA,1158.018,1161.845,237.896,566.826,730.539,NA,72.908,NA,NA,219.959,NA,NA,74.662,225.009,138.348,149.609,NA,NA,238.702,NA,NA,NA,NA,NA,109.249,171.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.6_2021",3788.424,131.164,NA,NA,NA,NA,572.795,NA,NA,NA,264.369,NA,NA,NA,NA,NA,1095.703,NA,1205.618,NA,NA,NA,NA,NA,1447.886,191.413,464.044,NA,NA,NA,142.008,NA,NA,NA,182.068,995.598,91.385,187.664,4172.314,NA,NA,NA,NA,124.073,NA,NA,NA,NA,174.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.3_2021",1321.569,307.897,NA,500.823,NA,NA,172.397,NA,NA,115.888,652.968,NA,NA,NA,NA,NA,2266.636,155.645,4366.584,NA,NA,NA,NA,32882.307,120.759,NA,NA,3899.306,170.304,NA,NA,172.083,NA,NA,753.792,3246.678,NA,262.225,NA,16826.43,NA,NA,275.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.6_2021",5089.097,327.76,NA,74.562,NA,NA,340.003,NA,NA,197.587,875.251,NA,NA,NA,NA,NA,196.584,536.763,4672.983,102.443,NA,NA,NA,107.428,725.182,549.156,118.574,192.484,NA,102.711,298.412,179.259,NA,NA,1393.843,830.618,NA,220.338,233.074,NA,612.669,NA,NA,221.082,NA,NA,124.268,136.712,110.943,59.092,NA,NA,246.525,NA,NA,NA,NA,NA,NA,273.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.3_2021",9346.135,186.268,NA,2414.553,NA,NA,395.129,NA,NA,NA,622.021,129.883,NA,NA,NA,NA,1668.598,67.559,981.402,156.466,NA,NA,4637.873,NA,680.278,641.552,1947.346,NA,NA,NA,376.733,NA,NA,NA,526.465,5109.818,NA,214.806,3688.008,NA,116.203,NA,NA,204.747,84.099,354.898,70.007,168.791,93.697,173.652,NA,NA,172.483,NA,NA,NA,NA,NA,78.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.8_2021",6706.571,256.822,NA,NA,NA,NA,1518.453,NA,NA,NA,NA,87.654,NA,NA,NA,NA,633.957,171.857,884.724,203.55,NA,627.895,NA,NA,2005.299,490.453,218.607,NA,NA,NA,173.557,NA,NA,NA,1179.416,465.706,151.919,310.108,385.218,NA,NA,NA,NA,186.398,NA,NA,NA,NA,220.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.6_2021",9527.422,571.353,204.378,NA,NA,NA,837.94,102.25,168.177,696.876,3049.809,NA,NA,NA,NA,NA,299.342,349.685,287.448,139.472,NA,NA,4346.766,NA,264.266,419.542,309.451,NA,NA,143.758,186.708,NA,NA,NA,211.434,2777.569,12617.542,223.775,557.966,NA,NA,NA,NA,149.087,NA,NA,111.69,249.838,129.9,97.263,NA,NA,118.259,NA,NA,NA,NA,NA,68.909,433.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
